<10 , {input\big.txt : 3}>
<perseveringly , {input\big.txt : 1}>
<persist , {input\big.txt : 1}>
<persistence , {input\big.txt : 1}>
<persistent , {input\big.txt : 2}>
<perspiration , {input\big.txt : 1}>
<phagocytosis , {input\big.txt : 1}>
<phalanx , {input\big.txt : 2}>
<pictures , {input\big.txt : 1}>
<piece , {input\big.txt : 1}>
<pin , {input\big.txt : 2}>
<pinched , {input\big.txt : 1}>
<place , {input\big.txt : 8}>
<placed , {input\big.txt : 3}>
<placenta , {input\big.txt : 1}>
<places , {input\big.txt : 2}>
<plane , {input\big.txt : 1}>
<planes , {input\big.txt : 1}>
<point , {input\big.txt : 3}>
<points , {input\big.txt : 1}>
<poison , {input\big.txt : 1}>
<poisoning , {input\big.txt : 4}>
<poisons , {input\big.txt : 3}>
<popliteal , {input\big.txt : 1}>
<portion , {input\big.txt : 3}>
<portions , {input\big.txt : 3}>
<possibility , {input\big.txt : 1}>
<possible , {input\big.txt : 6}>
<power , {input\big.txt : 1}>
<practicable , {input\big.txt : 1}>
<prepatellar , {input\big.txt : 1}>
<presence , {input\big.txt : 1}>
<present , {input\big.txt : 4}>
<pressure , {input\big.txt : 2}>
<prevent , {input\big.txt : 3}>
<prevented , {input\big.txt : 4}>
<preventing , {input\big.txt : 2}>
<prevents , {input\big.txt : 2}>
<prick , {input\big.txt : 2}>
<primary , {input\big.txt : 5}>
<probe , {input\big.txt : 1}>
<process , {input\big.txt : 7}>
<produce , {input\big.txt : 5}>
<producing , {input\big.txt : 1}>
<production , {input\big.txt : 1}>
<products , {input\big.txt : 2}>
<profuse , {input\big.txt : 1}>
<prognosis , {input\big.txt : 4}>
<prominent , {input\big.txt : 3}>
<proper , {input\big.txt : 1}>
<proportion , {input\big.txt : 4}>
<proportionately , {input\big.txt : 1}>
<protective , {input\big.txt : 2}>
<provides , {input\big.txt : 1}>
<psoas , {input\big.txt : 1}>
<pulp , {input\big.txt : 1}>
<pulse , {input\big.txt : 7}>
<puncture , {input\big.txt : 1}>
<purulent , {input\big.txt : 2}>
<pus , {input\big.txt : 17}>
<put , {input\big.txt : 1}>
<pyaemia , {input\big.txt : 2}>
<pyogenes , {input\big.txt : 1}>
<pyogenic , {input\big.txt : 7}>
<quantity , {input\big.txt : 1}>
<raised , {input\big.txt : 3}>
<raising , {input\big.txt : 1}>
<rapidly , {input\big.txt : 2}>
<raw , {input\big.txt : 1}>
<reach , {input\big.txt : 1}>
<reaches , {input\big.txt : 1}>
<reaching , {input\big.txt : 1}>
<reaction , {input\big.txt : 5}>
<realise , {input\big.txt : 1}>
<recently , {input\big.txt : 1}>
<recognised , {input\big.txt : 3}>
<recorded , {input\big.txt : 1}>
<recover , {input\big.txt : 1}>
<recovery , {input\big.txt : 1}>
<recto , {input\big.txt : 1}>
<rectum , {input\big.txt : 1}>
<red , {input\big.txt : 6}>
<redness , {input\big.txt : 1}>
<redundant , {input\big.txt : 1}>
<region , {input\big.txt : 2}>
<regions , {input\big.txt : 2}>
<regular , {input\big.txt : 1}>
<relation , {input\big.txt : 2}>
<relieve , {input\big.txt : 1}>
<remain , {input\big.txt : 2}>
<remains , {input\big.txt : 2}>
<remissions , {input\big.txt : 1}>
<removal , {input\big.txt : 2}>
<remove , {input\big.txt : 2}>
<removed , {input\big.txt : 4}>
<removing , {input\big.txt : 1}>
<render , {input\big.txt : 1}>
<repeated , {input\big.txt : 2}>
<represents , {input\big.txt : 1}>
<reserve , {input\big.txt : 1}>
<resistance , {input\big.txt : 1}>
<respects , {input\big.txt : 1}>
<respiration , {input\big.txt : 1}>
<rest , {input\big.txt : 1}>
<result , {input\big.txt : 3}>
<resulting , {input\big.txt : 6}>
<results , {input\big.txt : 1}>
<resumed , {input\big.txt : 1}>
<retained , {input\big.txt : 1}>
<rete , {input\big.txt : 1}>
<rid , {input\big.txt : 1}>
<right , {input\big.txt : 1}>
<rigidity , {input\big.txt : 1}>
<rigor , {input\big.txt : 3}>
<rise , {input\big.txt : 4}>
<rises , {input\big.txt : 3}>
<risk , {input\big.txt : 3}>
<root , {input\big.txt : 1}>
<rubber , {input\big.txt : 1}>
<salivary , {input\big.txt : 1}>
<salt , {input\big.txt : 1}>
<same , {input\big.txt : 4}>
<sapraemia , {input\big.txt : 8}>
<saving , {input\big.txt : 1}>
<scalp , {input\big.txt : 1}>
<scanty , {input\big.txt : 1}>
<scar , {input\big.txt : 1}>
<scarlet , {input\big.txt : 1}>
<scratch , {input\big.txt : 2}>
<seat , {input\big.txt : 6}>
<secondarily , {input\big.txt : 1}>
<secondary , {input\big.txt : 1}>
<sections , {input\big.txt : 1}>
<see , {input\big.txt : 1}>
<seldom , {input\big.txt : 1}>
<sensation , {input\big.txt : 2}>
<separately , {input\big.txt : 2}>
<septa , {input\big.txt : 1}>
<septic , {input\big.txt : 6}>
<septicaemia , {input\big.txt : 6}>
<sequel , {input\big.txt : 2}>
<serious , {input\big.txt : 1}>
<seriously , {input\big.txt : 1}>
<serous , {input\big.txt : 1}>
<serum , {input\big.txt : 1}>
<settle , {input\big.txt : 1}>
<several , {input\big.txt : 6}>
<severe , {input\big.txt : 6}>
<severity , {input\big.txt : 1}>
<severity; , {input\big.txt : 1}>
<shallow , {input\big.txt : 1}>
<sharp , {input\big.txt : 1}>
<sheath , {input\big.txt : 5}>
<sheaths , {input\big.txt : 6}>
<short , {input\big.txt : 1}>
<should , {input\big.txt : 15}>
<shoulder , {input\big.txt : 1}>
<side , {input\big.txt : 1}>
<sides , {input\big.txt : 1}>
<signs , {input\big.txt : 1}>
<simulating , {input\big.txt : 1}>
<sinus , {input\big.txt : 11}>
<sinuses , {input\big.txt : 2}>
<situation , {input\big.txt : 1}>
<situations , {input\big.txt : 2}>
<skin , {input\big.txt : 12}>
<sleep , {input\big.txt : 3}>
<slight , {input\big.txt : 1}>
<slightly , {input\big.txt : 1}>
<slough , {input\big.txt : 1}>
<sloughing , {input\big.txt : 4}>
<slow , {input\big.txt : 1}>
<small , {input\big.txt : 10}>
<so , {input\big.txt : 5}>
<soft , {input\big.txt : 2}>
<sole , {input\big.txt : 1}>
<solution , {input\big.txt : 3}>
<some , {input\big.txt : 12}>
<sometimes , {input\big.txt : 10}>
<soon , {input\big.txt : 1}>
<sorts , {input\big.txt : 1}>
<sought , {input\big.txt : 1}>
<source , {input\big.txt : 1}>
<space , {input\big.txt : 1}>
<speedily , {input\big.txt : 1}>
<spell , {input\big.txt : 1}>
<spleen , {input\big.txt : 1}>
<splint , {input\big.txt : 2}>
<splinter , {input\big.txt : 1}>
<spoon , {input\big.txt : 1}>
<spread , {input\big.txt : 7}>
<spreading , {input\big.txt : 1}>
<spreads , {input\big.txt : 5}>
<squeezed , {input\big.txt : 1}>
<stage , {input\big.txt : 3}>
<stained , {input\big.txt : 1}>
<standing , {input\big.txt : 1}>
<started , {input\big.txt : 1}>
<state , {input\big.txt : 1}>
<steady , {input\big.txt : 1}>
<sterilised , {input\big.txt : 1}>
<stiff , {input\big.txt : 1}>
<stiffness , {input\big.txt : 3}>
<stitches , {input\big.txt : 1}>
<stools , {input\big.txt : 1}>
<strangulated , {input\big.txt : 1}>
<stratum , {input\big.txt : 2}>
<stream , {input\big.txt : 2}>
<streptococci , {input\big.txt : 2}>
<streptococcic , {input\big.txt : 1}>
<streptococcus , {input\big.txt : 1}>
<stricture , {input\big.txt : 1}>
<stronger , {input\big.txt : 1}>
<structures , {input\big.txt : 2}>
<strychnin , {input\big.txt : 1}>
<study , {input\big.txt : 1}>
<subcutaneous , {input\big.txt : 4}>
<subnormal , {input\big.txt : 1}>
<subperiosteal , {input\big.txt : 1}>
<successful , {input\big.txt : 1}>
<such , {input\big.txt : 12}>
<suction , {input\big.txt : 1}>
<sufficient , {input\big.txt : 1}>
<suggested , {input\big.txt : 1}>
<suitably , {input\big.txt : 1}>
<sulcus , {input\big.txt : 1}>
<superficial , {input\big.txt : 4}>
<suppuration , {input\big.txt : 16}>
<suppurative , {input\big.txt : 3}>
<surface , {input\big.txt : 7}>
<surfaces , {input\big.txt : 1}>
<surrounding , {input\big.txt : 1}>
<swelling , {input\big.txt : 4}>
<swollen , {input\big.txt : 3}>
<swollen; , {input\big.txt : 1}>
<symptoms , {input\big.txt : 4}>
<take , {input\big.txt : 4}>
<taken , {input\big.txt : 1}>
<takes , {input\big.txt : 3}>
<taking , {input\big.txt : 2}>
<temperature , {input\big.txt : 10}>
<tend , {input\big.txt : 1}>
<tender , {input\big.txt : 3}>
<tenderness , {input\big.txt : 2}>
<tendon , {input\big.txt : 9}>
<tendons , {input\big.txt : 6}>
<tends , {input\big.txt : 2}>
<tense; , {input\big.txt : 1}>
<tension , {input\big.txt : 3}>
<term , {input\big.txt : 1}>
<terminal , {input\big.txt : 1}>
<terminates , {input\big.txt : 1}>
<terms , {input\big.txt : 1}>
<than , {input\big.txt : 1}>
<that , {input\big.txt : 10}>
<the , {input\big.txt : 473}>
<thecal , {input\big.txt : 1}>
<their , {input\big.txt : 5}>
<them , {input\big.txt : 1}>
<themselves , {input\big.txt : 2}>
<thence , {input\big.txt : 1}>
<there , {input\big.txt : 12}>
<thereby , {input\big.txt : 1}>
<therefore , {input\big.txt : 3}>
<these , {input\big.txt : 6}>
<they , {input\big.txt : 9}>
<thick , {input\big.txt : 1}>
<thin , {input\big.txt : 1}>
<thirst , {input\big.txt : 1}>
<this , {input\big.txt : 22}>
<thither , {input\big.txt : 1}>
<thoracic , {input\big.txt : 1}>
<those , {input\big.txt : 2}>
<throbbing , {input\big.txt : 2}>
<through , {input\big.txt : 2}>
<throughout , {input\big.txt : 2}>
<thumb , {input\big.txt : 1}>
<thus , {input\big.txt : 1}>
<tightness , {input\big.txt : 1}>
<time , {input\big.txt : 5}>
<tip , {input\big.txt : 1}>
<tissue , {input\big.txt : 12}>
<tissues , {input\big.txt : 5}>
<to , {input\big.txt : 104}>
<toes , {input\big.txt : 2}>
<tongue , {input\big.txt : 4}>
<tooth , {input\big.txt : 1}>
<tortuous , {input\big.txt : 1}>
<touch , {input\big.txt : 1}>
<towards , {input\big.txt : 3}>
<toxaemia , {input\big.txt : 1}>
<toxic , {input\big.txt : 2}>
<toxin , {input\big.txt : 1}>
<toxins , {input\big.txt : 8}>
<track , {input\big.txt : 2}>
<transmitted , {input\big.txt : 1}>
<transverse , {input\big.txt : 2}>
<travelled , {input\big.txt : 1}>
<travelling , {input\big.txt : 1}>
<treated , {input\big.txt : 1}>
<treating , {input\big.txt : 1}>
<treatment , {input\big.txt : 11}>
<trivial , {input\big.txt : 1}>
<true , {input\big.txt : 1}>
<trunk , {input\big.txt : 1}>
<trunks , {input\big.txt : 1}>
<tubercle , {input\big.txt : 1}>
<tuberculosis , {input\big.txt : 2}>
<tuberculous , {input\big.txt : 3}>
<tubes , {input\big.txt : 1}>
<twenty , {input\big.txt : 1}>
<type , {input\big.txt : 1}>
<typical , {input\big.txt : 1}>
<unable , {input\big.txt : 1}>
<uncommon , {input\big.txt : 3}>
<under , {input\big.txt : 11}>
<understood , {input\big.txt : 1}>
<unhealthy , {input\big.txt : 1}>
<unobliterated , {input\big.txt : 1}>
<until , {input\big.txt : 3}>
<untreated , {input\big.txt : 1}>
<up , {input\big.txt : 2}>
<upwards , {input\big.txt : 1}>
<urachus , {input\big.txt : 1}>
<urates , {input\big.txt : 2}>
<urethra , {input\big.txt : 1}>
<urine , {input\big.txt : 2}>
<used , {input\big.txt : 2}>
<useful , {input\big.txt : 2}>
<usefulness , {input\big.txt : 2}>
<ushered , {input\big.txt : 1}>
<usually , {input\big.txt : 18}>
<uterus , {input\big.txt : 1}>
<vagina , {input\big.txt : 1}>
<vaginal , {input\big.txt : 1}>
<value , {input\big.txt : 1}>
<varieties , {input\big.txt : 2}>
<variety , {input\big.txt : 5}>
<various , {input\big.txt : 2}>
<vary , {input\big.txt : 2}>
<venous , {input\big.txt : 1}>
<very , {input\big.txt : 1}>
<vesical , {input\big.txt : 1}>
<vesico , {input\big.txt : 1}>
<vessels , {input\big.txt : 5}>
<virulence , {input\big.txt : 3}>
<virulent , {input\big.txt : 2}>
<viscera , {input\big.txt : 2}>
<vital , {input\big.txt : 1}>
<vitality , {input\big.txt : 1}>
<vomiting , {input\big.txt : 2}>
<voracious , {input\big.txt : 1}>
<wall , {input\big.txt : 6}>
<walls , {input\big.txt : 1}>
<warm , {input\big.txt : 1}>
<washing , {input\big.txt : 2}>
<water , {input\big.txt : 1}>
<waxy , {input\big.txt : 2}>
<we , {input\big.txt : 4}>
<weak , {input\big.txt : 1}>
<well , {input\big.txt : 2}>
<when , {input\big.txt : 19}>
<where , {input\big.txt : 3}>
<whether , {input\big.txt : 1}>
<which , {input\big.txt : 32}>
<while , {input\big.txt : 8}>
<whitlow , {input\big.txt : 14}>
<who , {input\big.txt : 2}>
<whole , {input\big.txt : 2}>
<will , {input\big.txt : 6}>
<with , {input\big.txt : 37}>
<within , {input\big.txt : 1}>
<without , {input\big.txt : 1}>
<wood , {input\big.txt : 1}>
<work , {input\big.txt : 1}>
<worst , {input\big.txt : 1}>
<worsted , {input\big.txt : 1}>
<wound , {input\big.txt : 6}>
<wounds , {input\big.txt : 1}>
<wrist , {input\big.txt : 3}>
<wrung , {input\big.txt : 1}>
<yields , {input\big.txt : 1}>
