<1858 , {input\big1.txt : 1}>
<instead , {input\big1.txt : 1}>
<instrument , {input\big1.txt : 1}>
<intended , {input\big1.txt : 1}>
<intention , {input\big1.txt : 2}>
<interest , {input\big1.txt : 1}>
<interested , {input\big1.txt : 4}>
<interesting , {input\big1.txt : 1}>
<interests , {input\big1.txt : 1}>
<interfere , {input\big1.txt : 1}>
<into , {input\big1.txt : 20}>
<introduce , {input\big1.txt : 1}>
<introspective , {input\big1.txt : 1}>
<intrusions , {input\big1.txt : 1}>
<invariable , {input\big1.txt : 1}>
<investigation , {input\big1.txt : 1}>
<iodoform , {input\big1.txt : 1}>
<irene , {input\big1.txt : 9}>
<is , {input\big1.txt : 62}>
<issue , {input\big1.txt : 1}>
<it , {input\big1.txt : 114}>
<its , {input\big1.txt : 6}>
<itself , {input\big1.txt : 2}>
<jane , {input\big1.txt : 1}>
<jersey , {input\big1.txt : 1}>
<john , {input\big1.txt : 2}>
<johns , {input\big1.txt : 1}>
<join , {input\big1.txt : 1}>
<journey , {input\big1.txt : 1}>
<jumped , {input\big1.txt : 1}>
<just , {input\big1.txt : 11}>
<keen , {input\big1.txt : 3}>
<keeping , {input\big1.txt : 1}>
<kempt , {input\big1.txt : 1}>
<kindly , {input\big1.txt : 2}>
<king , {input\big1.txt : 6}>
<kingdom , {input\big1.txt : 1}>
<kings , {input\big1.txt : 1}>
<knew , {input\big1.txt : 5}>
<knot , {input\big1.txt : 2}>
<know , {input\big1.txt : 12}>
<known , {input\big1.txt : 1}>
<knows , {input\big1.txt : 1}>
<kramm , {input\big1.txt : 2}>
<la , {input\big1.txt : 1}>
<lady , {input\big1.txt : 3}>
<lady; , {input\big1.txt : 1}>
<laid , {input\big1.txt : 1}>
<lamps , {input\big1.txt : 1}>
<landau , {input\big1.txt : 4}>
<landlady , {input\big1.txt : 2}>
<lane , {input\big1.txt : 2}>
<langham , {input\big1.txt : 1}>
<languid , {input\big1.txt : 1}>
<large , {input\big1.txt : 4}>
<last , {input\big1.txt : 1}>
<late , {input\big1.txt : 1}>
<lately , {input\big1.txt : 2}>
<latter , {input\big1.txt : 1}>
<laughed , {input\big1.txt : 3}>
<laughing , {input\big1.txt : 3}>
<law , {input\big1.txt : 1}>
<lawyer , {input\big1.txt : 2}>
<lay , {input\big1.txt : 1}>
<lead , {input\big1.txt : 1}>
<least , {input\big1.txt : 2}>
<leather , {input\big1.txt : 2}>
<leave , {input\big1.txt : 1}>
<led , {input\big1.txt : 1}>
<left , {input\big1.txt : 5}>
<legal , {input\big1.txt : 2}>
<legs , {input\big1.txt : 1}>
<length , {input\big1.txt : 1}>
<lengths , {input\big1.txt : 1}>
<lengthy , {input\big1.txt : 1}>
<lenses , {input\big1.txt : 1}>
<lent , {input\big1.txt : 1}>
<less , {input\big1.txt : 4}>
<let , {input\big1.txt : 4}>
<letter , {input\big1.txt : 1}>
<letters , {input\big1.txt : 3}>
<license , {input\big1.txt : 1}>
<lie , {input\big1.txt : 1}>
<life , {input\big1.txt : 1}>
<light , {input\big1.txt : 1}>
<lighted , {input\big1.txt : 1}>
<lighting , {input\big1.txt : 2}>
<lights , {input\big1.txt : 1}>
<like , {input\big1.txt : 5}>
<likely , {input\big1.txt : 2}>
<limbs , {input\big1.txt : 1}>
<limp , {input\big1.txt : 1}>
<line , {input\big1.txt : 1}>
<lined , {input\big1.txt : 1}>
<lip , {input\big1.txt : 1}>
<listen , {input\big1.txt : 1}>
<listened , {input\big1.txt : 1}>
<lit , {input\big1.txt : 1}>
<little , {input\big1.txt : 12}>
<lived , {input\big1.txt : 1}>
<lives , {input\big1.txt : 1}>
<living , {input\big1.txt : 1}>
<loafer , {input\big1.txt : 1}>
<loafing , {input\big1.txt : 1}>
<loathed , {input\big1.txt : 1}>
<locality , {input\big1.txt : 1}>
<lock , {input\big1.txt : 1}>
<lodge , {input\big1.txt : 8}>
<lodgings , {input\big1.txt : 1}>
<london , {input\big1.txt : 3}>
<long , {input\big1.txt : 5}>
<look , {input\big1.txt : 7}>
<looked , {input\big1.txt : 8}>
<looking , {input\big1.txt : 3}>
<lose , {input\big1.txt : 1}>
<lost , {input\big1.txt : 3}>
<lothman , {input\big1.txt : 1}>
<loud , {input\big1.txt : 1}>
<lounged , {input\big1.txt : 2}>
<loungers , {input\big1.txt : 2}>
<lounging , {input\big1.txt : 2}>
<love , {input\big1.txt : 1}>
<lovely , {input\big1.txt : 1}>
<lover , {input\big1.txt : 1}>
<lower , {input\big1.txt : 1}>
<lucky , {input\big1.txt : 1}>
<luggage , {input\big1.txt : 1}>
<lying , {input\big1.txt : 1}>
<machine , {input\big1.txt : 1}>
<mad , {input\big1.txt : 1}>
<madame , {input\big1.txt : 1}>
<made , {input\big1.txt : 6}>
<mademoiselles , {input\big1.txt : 1}>
<maid , {input\big1.txt : 1}>
<majesty , {input\big1.txt : 8}>
<make , {input\big1.txt : 5}>
<maker , {input\big1.txt : 1}>
<male , {input\big1.txt : 1}>
<malignant , {input\big1.txt : 1}>
<man , {input\big1.txt : 19}>
<manner , {input\big1.txt : 3}>
<many , {input\big1.txt : 3}>
<march , {input\big1.txt : 1}>
<mark , {input\big1.txt : 1}>
<marked , {input\big1.txt : 1}>
<marriage , {input\big1.txt : 3}>
<married , {input\big1.txt : 1}>
<marry , {input\big1.txt : 2}>
<mary , {input\big1.txt : 1}>
<mask , {input\big1.txt : 5}>
<master , {input\big1.txt : 1}>
<masterly , {input\big1.txt : 1}>
<matter , {input\big1.txt : 9}>
<matters , {input\big1.txt : 3}>
<may , {input\big1.txt : 15}>
<me , {input\big1.txt : 31}>
<mean , {input\big1.txt : 1}>
<means , {input\big1.txt : 1}>
<measures , {input\big1.txt : 1}>
<medical , {input\big1.txt : 1}>
<meet , {input\big1.txt : 1}>
<member , {input\big1.txt : 1}>
<memory , {input\big1.txt : 2}>
<men , {input\big1.txt : 7}>
<menaced , {input\big1.txt : 1}>
<meningen , {input\big1.txt : 1}>
<mens , {input\big1.txt : 2}>
<mental , {input\big1.txt : 1}>
<mention , {input\big1.txt : 1}>
<merely , {input\big1.txt : 2}>
<mess , {input\big1.txt : 1}>
<methods , {input\big1.txt : 1}>
<mews , {input\big1.txt : 3}>
<might , {input\big1.txt : 7}>
<mills , {input\big1.txt : 1}>
<mind , {input\big1.txt : 6}>
<minded , {input\big1.txt : 1}>
<minutes , {input\big1.txt : 11}>
<miss , {input\big1.txt : 4}>
<mission , {input\big1.txt : 1}>
<mistake , {input\big1.txt : 1}>
<mistaken , {input\big1.txt : 1}>
<mistress , {input\big1.txt : 1}>
<moment , {input\big1.txt : 3}>
<monday , {input\big1.txt : 1}>
<money , {input\big1.txt : 2}>
<monica , {input\big1.txt : 3}>
<monogram , {input\big1.txt : 1}>
<monograph , {input\big1.txt : 1}>
<mood , {input\big1.txt : 1}>
<more , {input\big1.txt : 8}>
<morning , {input\big1.txt : 3}>
<morrow , {input\big1.txt : 1}>
<most , {input\big1.txt : 10}>
<motives , {input\big1.txt : 1}>
<moustached , {input\big1.txt : 1}>
<mouths , {input\big1.txt : 1}>
<mr , {input\big1.txt : 3}>
<mrs , {input\big1.txt : 1}>
<much , {input\big1.txt : 5}>
<mud , {input\big1.txt : 1}>
<mumbling , {input\big1.txt : 1}>
<murder , {input\big1.txt : 1}>
<murmured , {input\big1.txt : 3}>
<must , {input\big1.txt : 14}>
<my , {input\big1.txt : 55}>
<myself , {input\big1.txt : 6}>
<mysteries , {input\big1.txt : 2}>
<mystery , {input\big1.txt : 1}>
<name , {input\big1.txt : 5}>
<naturally , {input\big1.txt : 1}>
<nature , {input\big1.txt : 4}>
<near , {input\big1.txt : 2}>
<nearly , {input\big1.txt : 1}>
<neat , {input\big1.txt : 1}>
<necessitate , {input\big1.txt : 1}>
<neck , {input\big1.txt : 1}>
<neighbourhood , {input\big1.txt : 2}>
<neither , {input\big1.txt : 1}>
<nervous , {input\big1.txt : 1}>
<neutral , {input\big1.txt : 2}>
<never , {input\big1.txt : 4}>
<new , {input\big1.txt : 3}>
<news , {input\big1.txt : 1}>
<next , {input\big1.txt : 1}>
<nice , {input\big1.txt : 1}>
<night , {input\big1.txt : 4}>
<nitrate , {input\big1.txt : 1}>
<no , {input\big1.txt : 10}>
<nobleman , {input\big1.txt : 1}>
<nod , {input\big1.txt : 1}>
<nonconformist , {input\big1.txt : 1}>
<none , {input\big1.txt : 6}>
<nor , {input\big1.txt : 1}>
<norton , {input\big1.txt : 5}>
<not , {input\big1.txt : 42}>
<note , {input\big1.txt : 8}>
<notepaper , {input\big1.txt : 1}>
<notes , {input\big1.txt : 1}>
<nothing , {input\big1.txt : 7}>
<notice , {input\big1.txt : 1}>
<noting , {input\big1.txt : 1}>
<now , {input\big1.txt : 11}>
<number , {input\big1.txt : 2}>
<numerous , {input\big1.txt : 1}>
<nurse , {input\big1.txt : 1}>
<object , {input\big1.txt : 3}>
<obliged , {input\big1.txt : 1}>
<observation , {input\big1.txt : 1}>
<observe , {input\big1.txt : 2}>
<observed , {input\big1.txt : 2}>
<observer , {input\big1.txt : 1}>
<observing , {input\big1.txt : 1}>
<obstinacy , {input\big1.txt : 1}>
<obviously , {input\big1.txt : 1}>
<occasion , {input\big1.txt : 1}>
<occasionally , {input\big1.txt : 1}>
<occupant , {input\big1.txt : 1}>
<occupied , {input\big1.txt : 1}>
<occur , {input\big1.txt : 1}>
<oclock , {input\big1.txt : 5}>
<odessa , {input\big1.txt : 1}>
<of , {input\big1.txt : 195}>
<off , {input\big1.txt : 1}>
<official , {input\big1.txt : 1}>
<often , {input\big1.txt : 2}>
<oh , {input\big1.txt : 4}>
<old , {input\big1.txt : 2}>
<ominous , {input\big1.txt : 1}>
<on , {input\big1.txt : 23}>
<once , {input\big1.txt : 7}>
<one , {input\big1.txt : 23}>
<only , {input\big1.txt : 7}>
<open , {input\big1.txt : 5}>
<opened , {input\big1.txt : 2}>
<opening , {input\big1.txt : 1}>
<opera , {input\big1.txt : 1}>
<operatic , {input\big1.txt : 1}>
<operation , {input\big1.txt : 1}>
<opulence , {input\big1.txt : 1}>
<or , {input\big1.txt : 19}>
<order , {input\big1.txt : 1}>
<orders , {input\big1.txt : 1}>
<ordinary , {input\big1.txt : 1}>
<ormstein , {input\big1.txt : 2}>
<ostlers , {input\big1.txt : 1}>
<other , {input\big1.txt : 12}>
<others , {input\big1.txt : 1}>
<our , {input\big1.txt : 9}>
<ourselves , {input\big1.txt : 1}>
<out , {input\big1.txt : 17}>
<outlined , {input\big1.txt : 1}>
<outside , {input\big1.txt : 1}>
<over , {input\big1.txt : 7}>
<own , {input\big1.txt : 16}>
<paced , {input\big1.txt : 3}>
<pacing , {input\big1.txt : 2}>
<packet , {input\big1.txt : 1}>
<paid , {input\big1.txt : 1}>
<pair , {input\big1.txt : 3}>
<paper , {input\big1.txt : 8}>
<papers , {input\big1.txt : 1}>
<papier , {input\big1.txt : 1}>
<paragraphs , {input\big1.txt : 1}>
<parallel , {input\big1.txt : 1}>
<park , {input\big1.txt : 1}>
<part , {input\big1.txt : 7}>
<particularly , {input\big1.txt : 2}>
<pass , {input\big1.txt : 1}>
<passage , {input\big1.txt : 2}>
<passed , {input\big1.txt : 1}>
<passing , {input\big1.txt : 1}>
<passions , {input\big1.txt : 1}>
<past , {input\big1.txt : 3}>
<patient , {input\big1.txt : 1}>
<paused , {input\big1.txt : 1}>
<pay , {input\big1.txt : 2}>
<peculiar , {input\big1.txt : 2}>
<peculiarly , {input\big1.txt : 1}>
<peering , {input\big1.txt : 1}>
<people , {input\big1.txt : 3}>
<perch , {input\big1.txt : 1}>
<perfect , {input\big1.txt : 1}>
<perhaps , {input\big1.txt : 2}>
<person , {input\big1.txt : 5}>
<photograph , {input\big1.txt : 9}>
<pictured , {input\big1.txt : 1}>
<pink , {input\big1.txt : 1}>
<pity , {input\big1.txt : 1}>
<placed , {input\big1.txt : 1}>
<plainly , {input\big1.txt : 1}>
<plan , {input\big1.txt : 1}>
<planet , {input\big1.txt : 1}>
<plans , {input\big1.txt : 1}>
<play , {input\big1.txt : 1}>
<pleasure , {input\big1.txt : 1}>
<plumbers , {input\big1.txt : 1}>
<pocket , {input\big1.txt : 2}>
<pockets , {input\big1.txt : 1}>
<point , {input\big1.txt : 4}>
<police , {input\big1.txt : 1}>
<political , {input\big1.txt : 1}>
<pooh , {input\big1.txt : 2}>
<position , {input\big1.txt : 2}>
<possibility , {input\big1.txt : 2}>
<post , {input\big1.txt : 1}>
<pounds , {input\big1.txt : 2}>
<power , {input\big1.txt : 2}>
<powers , {input\big1.txt : 3}>
<practice , {input\big1.txt : 3}>
<prague , {input\big1.txt : 1}>
<pray , {input\big1.txt : 3}>
<precaution , {input\big1.txt : 1}>
<precise , {input\big1.txt : 1}>
<precisely , {input\big1.txt : 4}>
<predominates , {input\big1.txt : 1}>
<prefer , {input\big1.txt : 1}>
<prefers , {input\big1.txt : 1}>
<prepare , {input\big1.txt : 1}>
<preposterous , {input\big1.txt : 2}>
<present , {input\big1.txt : 4}>
<presently , {input\big1.txt : 1}>
<press , {input\big1.txt : 1}>
<presumably , {input\big1.txt : 1}>
<pretty , {input\big1.txt : 1}>
<prima , {input\big1.txt : 1}>
<prince , {input\big1.txt : 1}>
<princess , {input\big1.txt : 1}>
<principles , {input\big1.txt : 1}>
<private , {input\big1.txt : 2}>
<probably , {input\big1.txt : 2}>
<problem , {input\big1.txt : 2}>
<problems , {input\big1.txt : 1}>
<process , {input\big1.txt : 2}>
<processes , {input\big1.txt : 1}>
<proclaimed , {input\big1.txt : 1}>
<produce , {input\big1.txt : 1}>
<profession , {input\big1.txt : 1}>
<progress , {input\big1.txt : 1}>
<promise , {input\big1.txt : 1}>
<promises , {input\big1.txt : 1}>
<prompt , {input\big1.txt : 1}>
<pronounce , {input\big1.txt : 1}>
<propose , {input\big1.txt : 1}>
<protect , {input\big1.txt : 1}>
<prove , {input\big1.txt : 1}>
<provided , {input\big1.txt : 1}>
<provinces , {input\big1.txt : 1}>
<pshaw , {input\big1.txt : 1}>
<publicly , {input\big1.txt : 1}>
<pull , {input\big1.txt : 1}>
<pulled , {input\big1.txt : 3}>
<purpose , {input\big1.txt : 1}>
<purposes , {input\big1.txt : 1}>
<pushed , {input\big1.txt : 2}>
<put , {input\big1.txt : 1}>
<putting , {input\big1.txt : 2}>
<quarrel , {input\big1.txt : 1}>
<quarter , {input\big1.txt : 2}>
<quarters , {input\big1.txt : 2}>
<quench , {input\big1.txt : 1}>
<question , {input\big1.txt : 3}>
<questionable , {input\big1.txt : 1}>
<quick , {input\big1.txt : 1}>
<quiet , {input\big1.txt : 1}>
<quietly , {input\big1.txt : 1}>
<quite , {input\big1.txt : 9}>
<rabbi , {input\big1.txt : 1}>
<raise , {input\big1.txt : 4}>
<raised , {input\big1.txt : 1}>
<rang , {input\big1.txt : 1}>
<ransacked , {input\big1.txt : 1}>
<rather , {input\big1.txt : 5}>
<rattled , {input\big1.txt : 1}>
<reach , {input\big1.txt : 2}>
<reached , {input\big1.txt : 2}>
<read , {input\big1.txt : 1}>
<readers , {input\big1.txt : 1}>
<really , {input\big1.txt : 1}>
<reasoner , {input\big1.txt : 3}>
<reasoning , {input\big1.txt : 3}>
<reasons , {input\big1.txt : 1}>
<receipt , {input\big1.txt : 1}>
<received , {input\big1.txt : 3}>
<recent , {input\big1.txt : 1}>
<recorded , {input\big1.txt : 1}>
<recovered , {input\big1.txt : 1}>
<refuse , {input\big1.txt : 1}>
<refused , {input\big1.txt : 1}>
<regent , {input\big1.txt : 1}>
<reigning , {input\big1.txt : 2}>
<rejoin , {input\big1.txt : 1}>
<relation , {input\big1.txt : 1}>
<rely , {input\big1.txt : 2}>
<remain , {input\big1.txt : 1}>
<remained , {input\big1.txt : 1}>
<remains , {input\big1.txt : 1}>
<remarkable , {input\big1.txt : 2}>
<remarkably , {input\big1.txt : 2}>
<remarked , {input\big1.txt : 6}>
<remember , {input\big1.txt : 1}>
<remembered , {input\big1.txt : 1}>
<remove , {input\big1.txt : 1}>
<reopened , {input\big1.txt : 1}>
<repeated , {input\big1.txt : 1}>
<reproachfully , {input\big1.txt : 1}>
<resolute , {input\big1.txt : 1}>
<resolution , {input\big1.txt : 1}>
<resolve , {input\big1.txt : 1}>
<resolved , {input\big1.txt : 1}>
<respectable , {input\big1.txt : 1}>
<responses , {input\big1.txt : 1}>
<result , {input\big1.txt : 1}>
<results , {input\big1.txt : 1}>
<retired , {input\big1.txt : 1}>
<returned , {input\big1.txt : 4}>
<returning , {input\big1.txt : 1}>
<returns , {input\big1.txt : 2}>
<rich , {input\big1.txt : 2}>
<richness , {input\big1.txt : 1}>
<ridiculously , {input\big1.txt : 1}>
<right , {input\big1.txt : 5}>
<ringing , {input\big1.txt : 1}>
<rise , {input\big1.txt : 1}>
<risen , {input\big1.txt : 1}>
<road , {input\big1.txt : 2}>
<rocket , {input\big1.txt : 1}>
<role , {input\big1.txt : 1}>
<roll , {input\big1.txt : 1}>
<rolled , {input\big1.txt : 1}>
<room , {input\big1.txt : 8}>
<rooms , {input\big1.txt : 2}>
<rose , {input\big1.txt : 1}>
<round , {input\big1.txt : 4}>
<royal , {input\big1.txt : 2}>
<rubbed , {input\big1.txt : 1}>
<rubbing , {input\big1.txt : 1}>
<ruin , {input\big1.txt : 1}>
<rumble , {input\big1.txt : 1}>
<run , {input\big1.txt : 1}>
<running , {input\big1.txt : 3}>
<runs , {input\big1.txt : 1}>
<rushed , {input\big1.txt : 1}>
<russian , {input\big1.txt : 1}>
<safely , {input\big1.txt : 1}>
<said , {input\big1.txt : 26}>
<sally , {input\big1.txt : 1}>
<same , {input\big1.txt : 2}>
<sandwiched , {input\big1.txt : 1}>
<sat , {input\big1.txt : 1}>
<savagely , {input\big1.txt : 1}>
<save , {input\big1.txt : 3}>
<saved , {input\big1.txt : 1}>
<saw , {input\big1.txt : 3}>
<saxe , {input\big1.txt : 1}>
<say , {input\big1.txt : 5}>
<scala , {input\big1.txt : 1}>
<scandal , {input\big1.txt : 1}>
<scandinavia , {input\big1.txt : 1}>
<scarlet , {input\big1.txt : 1}>
<scene , {input\big1.txt : 2}>
<scent , {input\big1.txt : 1}>
<science , {input\big1.txt : 1}>
<scissors , {input\big1.txt : 2}>
<scored , {input\big1.txt : 1}>
<scraped , {input\big1.txt : 1}>
<scribbled , {input\big1.txt : 1}>
<scuffle , {input\big1.txt : 1}>
<sea , {input\big1.txt : 1}>
<seal , {input\big1.txt : 1}>
<search , {input\big1.txt : 1}>
<searched , {input\big1.txt : 1}>
<seat , {input\big1.txt : 1}>
<second , {input\big1.txt : 1}>
<secrecy , {input\big1.txt : 1}>
<secret , {input\big1.txt : 1}>
<secreted , {input\big1.txt : 1}>
<secreting , {input\big1.txt : 1}>
<secretive , {input\big1.txt : 1}>
<secure , {input\big1.txt : 1}>
<secured , {input\big1.txt : 1}>
<see , {input\big1.txt : 11}>
<seemed , {input\big1.txt : 2}>
<seems , {input\big1.txt : 1}>
<seen , {input\big1.txt : 6}>
<seized , {input\big1.txt : 1}>
<seldom , {input\big1.txt : 3}>
<self , {input\big1.txt : 1}>
<sell , {input\big1.txt : 1}>
<send , {input\big1.txt : 2}>
<sensitive , {input\big1.txt : 1}>
<sent , {input\big1.txt : 2}>
<sentence , {input\big1.txt : 1}>
<separated , {input\big1.txt : 1}>
<sequel , {input\big1.txt : 1}>
<serious , {input\big1.txt : 1}>
<seriously , {input\big1.txt : 3}>
<serpentine , {input\big1.txt : 4}>
<servant , {input\big1.txt : 1}>
<services , {input\big1.txt : 1}>
<settling , {input\big1.txt : 1}>
<seven , {input\big1.txt : 5}>
<seventeen , {input\big1.txt : 1}>
<several , {input\big1.txt : 1}>
<sex , {input\big1.txt : 1}>
<shabbily , {input\big1.txt : 1}>
<shabby , {input\big1.txt : 1}>
<shadow , {input\big1.txt : 1}>
<shag , {input\big1.txt : 1}>
<shall , {input\big1.txt : 6}>
<shaped , {input\big1.txt : 1}>
<shared , {input\big1.txt : 1}>
<sharp , {input\big1.txt : 3}>
<she , {input\big1.txt : 41}>
<sheet , {input\big1.txt : 2}>
<shelves , {input\big1.txt : 1}>
<sherlock , {input\big1.txt : 2}>
<shoe , {input\big1.txt : 1}>
<shortly , {input\big1.txt : 1}>
<shot , {input\big1.txt : 1}>
<should , {input\big1.txt : 12}>
<shoulders , {input\big1.txt : 2}>
<shouted , {input\big1.txt : 2}>
<show , {input\big1.txt : 2}>
<showing , {input\big1.txt : 1}>
<shown , {input\big1.txt : 2}>
<shrugged , {input\big1.txt : 1}>
<shutting , {input\big1.txt : 1}>
<side , {input\big1.txt : 6}>
<sidelights , {input\big1.txt : 1}>
<sides , {input\big1.txt : 1}>
<sigismond , {input\big1.txt : 1}>
<sign , {input\big1.txt : 1}>
<signal , {input\big1.txt : 1}>
<signature , {input\big1.txt : 1}>
<signs , {input\big1.txt : 1}>
<silhouette , {input\big1.txt : 1}>
<silk , {input\big1.txt : 1}>
<silver , {input\big1.txt : 1}>
<simple , {input\big1.txt : 3}>
<simplicity , {input\big1.txt : 1}>
<simplifies , {input\big1.txt : 1}>
<since , {input\big1.txt : 3}>
<single , {input\big1.txt : 1}>
<sings , {input\big1.txt : 2}>
<singular , {input\big1.txt : 2}>
<sit , {input\big1.txt : 1}>
<sitting , {input\big1.txt : 4}>
<situation , {input\big1.txt : 2}>
<six , {input\big1.txt : 4}>
<size , {input\big1.txt : 1}>
<slashed , {input\big1.txt : 1}>
<slavey , {input\big1.txt : 1}>
<sleeves , {input\big1.txt : 1}>
<slitting , {input\big1.txt : 1}>
<slow , {input\big1.txt : 1}>
<slowly , {input\big1.txt : 1}>
<small , {input\big1.txt : 5}>
<smart , {input\big1.txt : 1}>
<smelling , {input\big1.txt : 1}>
<smile , {input\big1.txt : 1}>
<smoke , {input\big1.txt : 1}>
<smoking , {input\big1.txt : 1}>
<sneer , {input\big1.txt : 1}>
<so , {input\big1.txt : 17}>
<so; , {input\big1.txt : 1}>
<society , {input\big1.txt : 1}>
<softer , {input\big1.txt : 1}>
<sole , {input\big1.txt : 1}>
<some , {input\big1.txt : 12}>
<someone , {input\big1.txt : 1}>
<something , {input\big1.txt : 1}>
<soon , {input\big1.txt : 2}>
<sort , {input\big1.txt : 2}>
<soul , {input\big1.txt : 5}>
<sound , {input\big1.txt : 2}>
<sounded , {input\big1.txt : 1}>
<sovereign , {input\big1.txt : 3}>
<spare , {input\big1.txt : 1}>
<sparkled , {input\big1.txt : 1}>
<speak , {input\big1.txt : 1}>
<speaking , {input\big1.txt : 1}>
<specialist , {input\big1.txt : 1}>
<specimen , {input\big1.txt : 1}>
<spinster , {input\big1.txt : 1}>
<spirit , {input\big1.txt : 1}>
<spoke , {input\big1.txt : 3}>
<spoken , {input\big1.txt : 2}>
<sprang , {input\big1.txt : 2}>
<st , {input\big1.txt : 4}>
<staff , {input\big1.txt : 1}>
<stage , {input\big1.txt : 2}>
<stairs , {input\big1.txt : 1}>
<standing , {input\big1.txt : 1}>
<stands , {input\big1.txt : 2}>
<started , {input\big1.txt : 1}>
<state , {input\big1.txt : 1}>
<station , {input\big1.txt : 2}>
<stay , {input\big1.txt : 2}>
<steaming , {input\big1.txt : 1}>
<steel , {input\big1.txt : 1}>
<step , {input\big1.txt : 1}>
<stepped , {input\big1.txt : 2}>
<steps , {input\big1.txt : 2}>
<steps; , {input\big1.txt : 1}>
<stethoscope , {input\big1.txt : 1}>
<sticking , {input\big1.txt : 1}>
<sticks , {input\big1.txt : 1}>
<stiff , {input\big1.txt : 1}>
<still , {input\big1.txt : 7}>
<stolen , {input\big1.txt : 2}>
<stood , {input\big1.txt : 2}>
<stories , {input\big1.txt : 1}>
<story , {input\big1.txt : 1}>
<straight , {input\big1.txt : 1}>
<strange , {input\big1.txt : 3}>
<street , {input\big1.txt : 12}>
<streets , {input\big1.txt : 1}>
<stretched , {input\big1.txt : 1}>
<strict , {input\big1.txt : 1}>
<strikes , {input\big1.txt : 1}>
<strong , {input\big1.txt : 3}>
<strongly , {input\big1.txt : 1}>
<struck , {input\big1.txt : 2}>
<struggling , {input\big1.txt : 1}>
<study , {input\big1.txt : 3}>
<subject , {input\big1.txt : 1}>
<subtle , {input\big1.txt : 1}>
<success , {input\big1.txt : 1}>
<successfully , {input\big1.txt : 1}>
<successive , {input\big1.txt : 1}>
<succinct , {input\big1.txt : 1}>
<such , {input\big1.txt : 8}>
<suddenly , {input\big1.txt : 1}>
<sufficient , {input\big1.txt : 1}>
<suggested , {input\big1.txt : 1}>
<suggestive , {input\big1.txt : 1}>
<suit , {input\big1.txt : 2}>
<suited , {input\big1.txt : 1}>
<suits , {input\big1.txt : 1}>
<summons , {input\big1.txt : 1}>
<sunk , {input\big1.txt : 1}>
<superb , {input\big1.txt : 1}>
<suppose , {input\big1.txt : 1}>
<sure , {input\big1.txt : 4}>
<surpliced , {input\big1.txt : 1}>
<surprise , {input\big1.txt : 2}>
<surrounded , {input\big1.txt : 1}>
<swiftly , {input\big1.txt : 1}>
<sympathetic , {input\big1.txt : 1}>
<sympathy , {input\big1.txt : 1}>
<system , {input\big1.txt : 2}>
<table , {input\big1.txt : 2}>
<tags , {input\big1.txt : 1}>
<take , {input\big1.txt : 5}>
<taken , {input\big1.txt : 2}>
<taking , {input\big1.txt : 2}>
<talking , {input\big1.txt : 1}>
<tall , {input\big1.txt : 1}>
<tap , {input\big1.txt : 1}>
<task , {input\big1.txt : 1}>
<taste , {input\big1.txt : 1}>
<tell , {input\big1.txt : 6}>
<temperament , {input\big1.txt : 1}>
<temple , {input\big1.txt : 3}>
<ten , {input\big1.txt : 2}>
<texture , {input\big1.txt : 1}>
<than , {input\big1.txt : 6}>
<thank , {input\big1.txt : 1}>
<thanking , {input\big1.txt : 1}>
<that , {input\big1.txt : 78}>
<the , {input\big1.txt : 329}>
<their , {input\big1.txt : 9}>
<them , {input\big1.txt : 6}>
<then , {input\big1.txt : 28}>
<theories , {input\big1.txt : 2}>
<theorise , {input\big1.txt : 1}>
<there , {input\big1.txt : 27}>
<therefore , {input\big1.txt : 1}>
<theres , {input\big1.txt : 1}>
<these , {input\big1.txt : 3}>
<these: , {input\big1.txt : 1}>
<they , {input\big1.txt : 10}>
<thick , {input\big1.txt : 2}>
<thing , {input\big1.txt : 2}>
<things , {input\big1.txt : 3}>
<think , {input\big1.txt : 8}>
<thirty , {input\big1.txt : 1}>
<this , {input\big1.txt : 26}>
<thoroughly , {input\big1.txt : 1}>
<those , {input\big1.txt : 4}>
<though , {input\big1.txt : 2}>
<thought , {input\big1.txt : 2}>
<threatens , {input\big1.txt : 1}>
<three , {input\big1.txt : 8}>
<threw , {input\big1.txt : 2}>
<through , {input\big1.txt : 2}>
<throw , {input\big1.txt : 4}>
<throwing , {input\big1.txt : 1}>
<thrown , {input\big1.txt : 1}>
<thursday , {input\big1.txt : 1}>
<tie , {input\big1.txt : 2}>
<time , {input\big1.txt : 6}>
<times , {input\big1.txt : 4}>
<tinted , {input\big1.txt : 1}>
<title , {input\big1.txt : 1}>
<to , {input\big1.txt : 187}>
<tobacco , {input\big1.txt : 1}>
<together , {input\big1.txt : 1}>
<told , {input\big1.txt : 2}>
<too , {input\big1.txt : 6}>
<took , {input\big1.txt : 5}>
<top , {input\big1.txt : 3}>
<tops , {input\big1.txt : 1}>
<tore , {input\big1.txt : 1}>
<towards , {input\big1.txt : 1}>
<tragedy , {input\big1.txt : 1}>
<trained , {input\big1.txt : 1}>
<transferred , {input\big1.txt : 1}>
<travelled , {input\big1.txt : 1}>
<tray , {input\big1.txt : 1}>
<trepoff , {input\big1.txt : 1}>
<tried , {input\big1.txt : 1}>
<trifle , {input\big1.txt : 1}>
<trifling , {input\big1.txt : 1}>
<trimmed , {input\big1.txt : 1}>
